"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"6","Amir Hadžiahmetović","Hull City","0.03","0.00","Off Target","20","Right Foot","Volley","","","","","Hull City","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"9","Vivaldo Semedo","Watford","0.15","0.00","Blocked","15","Left Foot","","Imran Louza","Pass (Live)","Edo Kayembe","Pass (Live)","Watford","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"13","Nestory Irankunda","Watford","0.03","0.00","Off Target","31","Right Foot","","Imran Louza","Pass (Live)","Nestory Irankunda","Pass (Live)","Watford","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"14","Vivaldo Semedo","Watford","0.10","0.00","Off Target","8","Right Foot","","Jérémy Pétris","Pass (Live)","Max Alleyne","Pass (Dead)","Watford","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"14","Nestory Irankunda","Watford","0.31","0.52","Saved","5","Right Foot","Deflected","Vivaldo Semedo","Shot","","","Watford","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"14","Joe Gelhardt","Hull City","0.01","0.00","Off Target","69","Left Foot","","","","","","Hull City","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"24","Oliver McBurnie","Hull City","0.05","0.00","Off Target","12","Head","","Lewie Coyle","Pass (Live)","John Lundstram","Pass (Live)","Hull City","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"25","Oliver McBurnie","Hull City","0.19","0.23","Goal","13","Right Foot","","Cody Drameh","Pass (Live)","Joe Gelhardt","Pass (Live)","Hull City","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"31","Vivaldo Semedo","Watford","0.21","0.33","Saved","7","Left Foot","","Kévin Keben Biakolo","Pass (Live)","Jérémy Pétris","Fouled","Watford","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
"38","Oliver McBurnie","Hull City","0.09","0.00","Woodwork","22","Right Foot","","Kyle Joseph","Pass (Live)","","","Hull City","Championship","2025-2026","Saturday September 27, 2025, 15:00 (venue time)","Watford","Hull City","https://fbref.com/en/matches/e38e84d1/Watford-Hull-City-September-27-2025-Championship","7"
