"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","Joelinton","Newcastle Utd","0.06","0.54","Goal","12","Left Foot","Volley","Fabian Schär","Pass (Live)","Anthony Gordon","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"7","Harvey Barnes","Newcastle Utd","0.07","0.08","Saved","11","Right Foot","","Joelinton","Pass (Live)","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"7","Bruno Guimarães","Newcastle Utd","0.40","0.48","Saved","4","Right Foot","","Harvey Barnes","Shot","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"7","Yoane Wissa","Newcastle Utd","0.41","0.00","Blocked","4","Left Foot","","Bruno Guimarães","Shot","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"7","Yoane Wissa","Newcastle Utd","0.65","0.94","Goal","3","Right Foot","","Yoane Wissa","Shot","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"22","Marcus Edwards","Burnley","0.07","0.00","Off Target","25","Left Foot","","Florentino Luís","Pass (Live)","Lucas","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"23","Lucas","Burnley","0.03","0.00","Off Target","24","Left Foot","","Marcus Edwards","Pass (Live)","Lesley Ugochukwu","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"23","Josh Laurent","Burnley","0.09","0.24","Goal","11","Right Foot","Volley","Armando Broja","Pass (Live)","Lucas","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"29","Yoane Wissa","Newcastle Utd","0.15","0.00","Off Target","5","Head","","Bruno Guimarães","Pass (Dead)","Yoane Wissa","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"33","Anthony Gordon","Newcastle Utd","0.05","0.00","Blocked","24","Right Foot","","Fabian Schär","Pass (Dead)","Joelinton","Fouled","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"33","Malick Thiaw","Newcastle Utd","0.04","0.00","Blocked","13","Right Foot","","Anthony Gordon","Shot","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"33","Fabian Schär","Newcastle Utd","0.05","0.01","Saved","24","Left Foot","","Malick Thiaw","Shot","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"37","Yoane Wissa","Newcastle Utd","0.02","0.00","Off Target","14","Right Foot","","","","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"38","Harvey Barnes","Newcastle Utd","0.05","0.01","Saved","19","Right Foot","","Bruno Guimarães","Pass (Live)","Lewis Hall","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"38","Bruno Guimarães","Newcastle Utd","0.04","0.00","Off Target","21","Right Foot","","Harvey Barnes","Pass (Live)","Harvey Barnes","Shot","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"40","Armando Broja","Burnley","0.09","0.00","Blocked","18","Left Foot","","Josh Laurent","Tackle","","","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"40","Marcus Edwards","Burnley","0.04","0.00","Blocked","13","Left Foot","","Loum Tchaouna","Pass (Live)","Armando Broja","Shot","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"40","Marcus Edwards","Burnley","0.08","0.00","Off Target","21","Right Foot","","Marcus Edwards","Shot","","","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"43","Lewis Hall","Newcastle Utd","0.03","0.00","Blocked","26","Left Foot","","","","","","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"43","Sandro Tonali","Newcastle Utd","0.01","0.00","Blocked","29","Left Foot","","Anthony Gordon","Take-On","Lewis Hall","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"45+1","Loum Tchaouna","Burnley","0.02","0.00","Off Target","30","Right Foot","","Lucas","Pass (Live)","Bashir Humphreys","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"","","","","","","","","","","","","","","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"50","Loum Tchaouna","Burnley","0.02","0.00","Off Target","29","Left Foot","","Lucas","Pass (Live)","Bashir Humphreys","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"55","Loum Tchaouna","Burnley","0.10","0.06","Saved","21","Right Foot","","Josh Laurent","Pass (Live)","Kyle Walker","Pass (Dead)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"56","Anthony Gordon","Newcastle Utd","0.05","0.00","Off Target","14","Right Foot","","Bruno Guimarães","Pass (Live)","Bruno Guimarães","Take-On","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"59","Marcus Edwards","Burnley","0.07","0.06","Saved","14","Right Foot","","Armando Broja","Pass (Live)","Loum Tchaouna","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"61","Josh Laurent","Burnley","0.13","0.00","Woodwork","9","Head","","Lucas","Pass (Live)","Bashir Humphreys","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"65","Lewis Hall","Newcastle Utd","0.05","0.00","Blocked","16","Left Foot","","Joelinton","Pass (Live)","Lewis Miley","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"68","Loum Tchaouna","Burnley","0.12","0.00","Off Target","6","Head","","Marcus Edwards","Pass (Live)","Lesley Ugochukwu","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"72","Lucas","Burnley","0.05","0.00","Off Target","15","Left Foot","","Marcus Edwards","Pass (Live)","Lesley Ugochukwu","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"78","Malick Thiaw","Newcastle Utd","0.16","0.00","Blocked","4","Head","","Joelinton","Pass (Live)","Jacob Murphy","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"79","Jacob Murphy","Newcastle Utd","0.27","0.00","Off Target","8","Left Foot","","Lewis Hall","Pass (Live)","Yoane Wissa","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"85","Lucas","Burnley","0.03","0.00","Blocked","23","Left Foot","","Lesley Ugochukwu","Pass (Live)","Marcus Edwards","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"86","Sandro Tonali","Newcastle Utd","0.02","0.00","Blocked","33","Right Foot","","Joelinton","Pass (Live)","Jacob Ramsey","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"90+3","Bruno Guimarães","Newcastle Utd","0.08","0.39","Goal","34","Left Foot","","Jacob Murphy","Pass (Live)","Lewis Miley","Pass (Live)","Newcastle Utd","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"90+5","Ashley Barnes","Burnley","0.11","0.00","Blocked","12","Left Foot","","Hjalmar Ekdal","Pass (Live)","Bashir Humphreys","Pass (Live)","Burnley","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19"
"2","James Garner","Everton","0.03","0.00","Off Target","31","Right Foot","","Thierno Barry","Pass (Live)","Merlin Röhl","Tackle","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"7","James Tarkowski","Everton","0.09","0.12","Saved","9","Head","","James Garner","Pass (Live)","Tyler Dibling","Pass (Live)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"15","Callum Hudson-Odoi","Nott'ham Forest","0.03","0.00","Blocked","20","Right Foot","","Oleksandr Zinchenko","Pass (Live)","Callum Hudson-Odoi","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"19","James Garner","Everton","0.09","0.11","Goal","13","Right Foot","","Dwight McNeil","Pass (Live)","Tim Iroegbunam","Pass (Live)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"23","Igor Jesus","Nott'ham Forest","0.04","0.00","Off Target","16","Head","","Nicolás Domínguez","Pass (Live)","Neco Williams","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"23","Omari Hutchinson","Nott'ham Forest","0.04","0.00","Blocked","29","Left Foot","","Omari Hutchinson","Take-On","Morgan Gibbs-White","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"25","Dwight McNeil","Everton","0.06","0.00","Blocked","24","Left Foot","","Dwight McNeil","Take-On","Jordan Pickford","Pass (Dead)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"30","Callum Hudson-Odoi","Nott'ham Forest","0.19","0.00","Off Target","6","Left Foot","","Neco Williams","Pass (Live)","Nikola Milenković","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"44","Oleksandr Zinchenko","Nott'ham Forest","0.03","0.11","Saved","33","Left Foot","Free kick","Elliot Anderson","Fouled","Elliot Anderson","Take-On","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"45","Neco Williams","Nott'ham Forest","0.02","0.00","Blocked","28","Left Foot","","Oleksandr Zinchenko","Pass (Dead)","Oleksandr Zinchenko","Shot","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"","","","","","","","","","","","","","","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"46","Igor Jesus","Nott'ham Forest","0.07","0.00","Blocked","12","Right Foot","Volley","Neco Williams","Pass (Live)","Callum Hudson-Odoi","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"46","Douglas Luiz","Nott'ham Forest","0.03","0.00","Blocked","23","Left Foot","Volley","Igor Jesus","Shot","","","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"48","Morgan Gibbs-White","Nott'ham Forest","0.02","0.00","Blocked","24","Right Foot","","Murillo","Pass (Live)","Douglas Luiz","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"50","Douglas Luiz","Nott'ham Forest","0.04","0.00","Off Target","28","Right Foot","","Douglas Luiz","Pass (Live)","Oleksandr Zinchenko","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"55","Douglas Luiz","Nott'ham Forest","0.04","0.13","Saved","30","Right Foot","","Elliot Anderson","Pass (Live)","Elliot Anderson","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"59","Igor Jesus","Nott'ham Forest","0.10","0.00","Off Target","14","Right Foot","","Morgan Gibbs-White","Pass (Live)","","","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"66","Morgan Gibbs-White","Nott'ham Forest","0.16","0.00","Off Target","10","Head","","Neco Williams","Pass (Live)","Omari Hutchinson","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"68","Merlin Röhl","Everton","0.05","0.00","Blocked","18","Left Foot","","Thierno Barry","Pass (Live)","Tim Iroegbunam","Pass (Live)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"69","Taiwo Awoniyi","Nott'ham Forest","0.12","0.10","Saved","8","Right Foot","","Omari Hutchinson","Pass (Live)","Oleksandr Zinchenko","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"71","Neco Williams","Nott'ham Forest","0.02","0.01","Saved","28","Right Foot","","Elliot Anderson","Pass (Live)","Oleksandr Zinchenko","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"73","James Garner","Everton","0.02","0.00","Off Target","24","Left Foot","","James Garner","Take-On","Jordan Pickford","Pass (Dead)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"73","James Tarkowski","Everton","0.27","0.00","Off Target","5","Head","","James Garner","Pass (Live)","James Garner","Shot","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"74","Jack Grealish","Everton","0.05","0.00","Blocked","16","Right Foot","","Dwight McNeil","Pass (Live)","Tyler Dibling","Pass (Live)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"77","Dwight McNeil","Everton","0.04","0.00","Blocked","17","Left Foot","","Jack Grealish","Pass (Live)","Tim Iroegbunam","Pass (Live)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"77","James Garner","Everton","0.03","0.00","Off Target","24","Right Foot","","Jack Grealish","Pass (Live)","James Garner","Pass (Live)","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"79","Thierno Barry","Everton","0.73","0.52","Goal","13","Left Foot","","James Garner","Pass (Live)","James Garner","Take-On","Everton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"83","Morgan Gibbs-White","Nott'ham Forest","0.27","0.21","Saved","4","Head","","Taiwo Awoniyi","Pass (Live)","Nikola Milenković","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"84","Taiwo Awoniyi","Nott'ham Forest","0.37","0.00","Off Target","7","Right Foot","","Neco Williams","Pass (Live)","Omari Hutchinson","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"86","Neco Williams","Nott'ham Forest","0.05","0.06","Saved","22","Left Foot","","Omari Hutchinson","Pass (Live)","Douglas Luiz","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"86","Morgan Gibbs-White","Nott'ham Forest","0.12","0.00","Off Target","12","Head","","Neco Williams","Shot","","","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"87","Dilane Bakwa","Nott'ham Forest","0.06","0.00","Off Target","13","Right Foot","","Dilane Bakwa","Take-On","Oleksandr Zinchenko","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"90+5","Murillo","Nott'ham Forest","0.08","0.00","Blocked","15","Left Foot","","Douglas Luiz","Pass (Live)","Omari Hutchinson","Pass (Live)","Nott'ham Forest","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Nottingham Forest","Everton","https://fbref.com/en/matches/9e232624/Nottingham-Forest-Everton-December-30-2025-Premier-League","19"
"6","Yankuba Minteh","Brighton","0.05","0.05","Saved","14","Head","","Maxim De Cuyper","Pass (Live)","Ferdi Kadioglu","Pass (Live)","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"7","Maxim De Cuyper","Brighton","0.06","0.00","Blocked","24","Left Foot","","Diego Gómez","Pass (Live)","Yankuba Minteh","Pass (Live)","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"7","Diego Gómez","Brighton","0.05","0.00","Off Target","17","Right Foot","","","","","","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"9","Danny Welbeck","Brighton","0.03","0.00","Blocked","30","Right Foot","","Diego Gómez","Pass (Live)","Ferdi Kadioglu","Pass (Live)","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"10","Jarrod Bowen","West Ham","0.52","0.85","Goal","14","Left Foot","","Lucas Paquetá","Pass (Live)","","","West Ham","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"16","Oliver Scarles","West Ham","0.10","0.00","Off Target","12","Left Foot","","Oliver Scarles","Take-On","","","West Ham","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"23","Callum Wilson","West Ham","0.03","0.00","Blocked","16","Right Foot","","Jarrod Bowen","Pass (Live)","Oliver Scarles","Pass (Live)","West Ham","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"24","Yasin Ayari","Brighton","0.04","0.00","Saved off Target","36","Right Foot","Free kick","Yasin Ayari","Fouled","Joël Veltman","Pass (Live)","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"32","Danny Welbeck (pen)","Brighton","0.79","0.70","Goal","13","Right Foot","","Yankuba Minteh","Fouled","Danny Welbeck","Pass (Live)","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
"36","Danny Welbeck (pen)","Brighton","0.79","0.00","Woodwork","13","Right Foot","","Lewis Dunk","Fouled","","","Brighton","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","West Ham United","Brighton & Hove Albion","https://fbref.com/en/matches/2ed2a547/West-Ham-United-Brighton-and-Hove-Albion-December-30-2025-Premier-League","19"
